user_id,movie_id,rating
user_1,movie_14,2
user_1,movie_40,1
user_1,movie_31,2
user_1,movie_46,5
user_1,movie_18,2
user_1,movie_49,4
user_1,movie_27,4
user_1,movie_26,4
user_1,movie_33,4
user_1,movie_20,5
user_2,movie_42,1
user_2,movie_5,3
user_2,movie_41,5
user_2,movie_44,2
user_2,movie_11,2
user_2,movie_46,1
user_2,movie_3,4
user_2,movie_39,1
user_2,movie_48,4
user_2,movie_12,2
user_3,movie_8,4
user_3,movie_47,4
user_3,movie_34,4
user_3,movie_28,4
user_3,movie_18,4
user_3,movie_30,3
user_3,movie_2,2
user_3,movie_12,4
user_3,movie_6,1
user_3,movie_38,1
user_4,movie_14,3
user_4,movie_47,1
user_4,movie_23,1
user_4,movie_11,4
user_4,movie_16,3
user_4,movie_48,5
user_4,movie_18,3
user_4,movie_29,4
user_4,movie_43,4
user_4,movie_40,3
user_5,movie_42,4
user_5,movie_22,4
user_5,movie_14,3
user_5,movie_46,1
user_5,movie_8,3
user_5,movie_21,1
user_5,movie_6,5
user_5,movie_4,2
user_5,movie_44,2
user_5,movie_15,2
user_6,movie_9,3
user_6,movie_25,4
user_6,movie_24,1
user_6,movie_39,4
user_6,movie_10,5
user_6,movie_11,5
user_6,movie_32,1
user_6,movie_37,3
user_6,movie_18,2
user_6,movie_29,1
user_7,movie_10,1
user_7,movie_43,4
user_7,movie_34,2
user_7,movie_35,3
user_7,movie_5,4
user_7,movie_11,5
user_7,movie_21,1
user_7,movie_15,5
user_7,movie_6,4
user_7,movie_37,4
user_8,movie_47,1
user_8,movie_34,4
user_8,movie_27,5
user_8,movie_22,4
user_8,movie_20,2
user_8,movie_18,2
user_8,movie_36,5
user_8,movie_14,4
user_8,movie_11,1
user_8,movie_10,5
user_9,movie_17,2
user_9,movie_22,2
user_9,movie_6,2
user_9,movie_39,3
user_9,movie_9,1
user_9,movie_46,4
user_9,movie_7,2
user_9,movie_47,5
user_9,movie_15,2
user_9,movie_45,5
user_10,movie_50,3
user_10,movie_44,5
user_10,movie_1,4
user_10,movie_8,5
user_10,movie_6,1
user_10,movie_33,5
user_10,movie_2,5
user_10,movie_15,2
user_10,movie_43,2
user_10,movie_7,2
user_11,movie_44,2
user_11,movie_28,4
user_11,movie_34,4
user_11,movie_25,5
user_11,movie_31,1
user_11,movie_36,1
user_11,movie_45,3
user_11,movie_41,5
user_11,movie_14,4
user_11,movie_21,1
user_12,movie_34,4
user_12,movie_26,3
user_12,movie_30,1
user_12,movie_48,1
user_12,movie_7,1
user_12,movie_9,5
user_12,movie_24,4
user_12,movie_2,5
user_12,movie_13,4
user_12,movie_45,5
user_13,movie_8,1
user_13,movie_14,1
user_13,movie_4,3
user_13,movie_34,5
user_13,movie_39,5
user_13,movie_48,4
user_13,movie_24,1
user_13,movie_23,1
user_13,movie_42,2
user_13,movie_12,4
user_14,movie_16,5
user_14,movie_22,2
user_14,movie_13,5
user_14,movie_9,3
user_14,movie_48,3
user_14,movie_49,3
user_14,movie_33,3
user_14,movie_36,1
user_14,movie_4,3
user_14,movie_42,4
user_15,movie_48,3
user_15,movie_30,3
user_15,movie_24,3
user_15,movie_20,4
user_15,movie_23,5
user_15,movie_42,2
user_15,movie_44,2
user_15,movie_10,3
user_15,movie_7,3
user_15,movie_34,1
user_16,movie_31,1
user_16,movie_27,3
user_16,movie_16,3
user_16,movie_21,5
user_16,movie_35,4
user_16,movie_38,2
user_16,movie_50,4
user_16,movie_29,4
user_16,movie_7,3
user_16,movie_11,4
user_17,movie_23,3
user_17,movie_32,1
user_17,movie_22,5
user_17,movie_29,4
user_17,movie_34,4
user_17,movie_9,2
user_17,movie_17,5
user_17,movie_16,3
user_17,movie_21,1
user_17,movie_25,2
user_18,movie_27,3
user_18,movie_42,2
user_18,movie_31,4
user_18,movie_28,5
user_18,movie_36,1
user_18,movie_3,4
user_18,movie_46,3
user_18,movie_32,4
user_18,movie_2,5
user_18,movie_16,1
user_19,movie_23,4
user_19,movie_48,4
user_19,movie_21,4
user_19,movie_3,5
user_19,movie_9,5
user_19,movie_1,2
user_19,movie_25,1
user_19,movie_14,4
user_19,movie_26,2
user_19,movie_18,1
user_20,movie_19,3
user_20,movie_13,2
user_20,movie_49,4
user_20,movie_32,2
user_20,movie_42,5
user_20,movie_5,1
user_20,movie_39,1
user_20,movie_4,4
user_20,movie_50,1
user_20,movie_27,1
user_21,movie_9,3
user_21,movie_41,5
user_21,movie_43,1
user_21,movie_25,5
user_21,movie_11,3
user_21,movie_5,3
user_21,movie_12,1
user_21,movie_50,4
user_21,movie_35,2
user_21,movie_24,3
user_22,movie_49,4
user_22,movie_34,1
user_22,movie_8,2
user_22,movie_28,3
user_22,movie_17,1
user_22,movie_13,2
user_22,movie_47,3
user_22,movie_26,1
user_22,movie_9,1
user_22,movie_6,2
user_23,movie_33,5
user_23,movie_38,5
user_23,movie_47,3
user_23,movie_44,3
user_23,movie_19,4
user_23,movie_27,1
user_23,movie_14,3
user_23,movie_3,3
user_23,movie_24,2
user_23,movie_20,5
user_24,movie_24,1
user_24,movie_16,2
user_24,movie_4,1
user_24,movie_23,4
user_24,movie_15,3
user_24,movie_13,2
user_24,movie_48,1
user_24,movie_14,5
user_24,movie_11,2
user_24,movie_30,2
